precision,recall,f1-score,accuracy
0.0,0.0,0.0,0.1775
0.0,0.0,0.0,0.775
0.002824858757062147,1.0,0.005633802816901409,0.1175
0.0,0.0,0.0,0.155
0.0,0.0,0.0,0.355
0.0037313432835820895,1.0,0.007434944237918215,0.3325
0.004149377593360996,1.0,0.008264462809917356,0.4
0.00273224043715847,1.0,0.005449591280653952,0.0875
0.0,0.0,0.0,0.3
0.002717391304347826,1.0,0.0054200542005420045,0.0825
0.0026954177897574125,1.0,0.005376344086021506,0.075
0.0,0.0,0.0,0.2025
0.0026455026455026454,1.0,0.005277044854881266,0.0575
0.0,0.0,0.0,0.15
0.0,0.0,0.0,0.0925
0.002881844380403458,1.0,0.005747126436781608,0.135
0.0,0.0,0.0,0.085
0.0,0.0,0.0,0.5675
0.003076923076923077,1.0,0.006134969325153375,0.19
0.0,0.0,0.0,0.22
0.00267379679144385,1.0,0.005333333333333333,0.0675
0.0,0.0,0.0,0.3775
0.0,0.0,0.0,0.2375
0.0041841004184100415,1.0,0.008333333333333333,0.405
0.0036496350364963502,1.0,0.007272727272727273,0.3175
0.0029940119760479044,1.0,0.005970149253731344,0.1675
0.0,0.0,0.0,0.4375
0.003875968992248062,1.0,0.007722007722007722,0.3575
0.0,0.0,0.0,0.33
0.0,0.0,0.0,0.5
0.0030303030303030303,1.0,0.006042296072507554,0.1775
0.0,0.0,0.0,0.5075
0.007194244604316547,1.0,0.014285714285714287,0.655
0.004545454545454545,1.0,0.009049773755656108,0.4525
0.0,0.0,0.0,0.2125
0.003875968992248062,1.0,0.007722007722007722,0.3575
0.0,0.0,0.0,0.465
0.0,0.0,0.0,0.255
0.0,0.0,0.0,0.46
0.002544529262086514,1.0,0.005076142131979696,0.02
0.004329004329004329,1.0,0.008620689655172414,0.425
0.00267379679144385,1.0,0.005333333333333333,0.0675
0.0,0.0,0.0,0.545
0.0,0.0,0.0,0.5775
0.0,0.0,0.0,0.28
0.0,0.0,0.0,0.5175
0.0028169014084507044,1.0,0.005617977528089888,0.115
0.0034482758620689655,1.0,0.006872852233676977,0.2775
0.002785515320334262,1.0,0.005555555555555556,0.105
0.0,0.0,0.0,0.66
0.0028735632183908046,1.0,0.005730659025787966,0.1325
0.0025575447570332483,1.0,0.005102040816326531,0.025
0.004761904761904762,1.0,0.009478672985781991,0.4775
0.0,0.0,0.0,0.2125
0.0029585798816568047,1.0,0.005899705014749263,0.1575
0.0,0.0,0.0,0.4
0.0,0.0,0.0,0.6175
0.0033333333333333335,1.0,0.006644518272425249,0.2525
0.005235602094240838,1.0,0.010416666666666668,0.525
0.0,0.0,0.0,0.46
0.008130081300813009,1.0,0.01612903225806452,0.695
0.0037593984962406013,1.0,0.00749063670411985,0.3375
0.004273504273504274,1.0,0.00851063829787234,0.4175
0.004149377593360996,1.0,0.008264462809917356,0.4
0.002777777777777778,1.0,0.00554016620498615,0.1025
0.0035971223021582736,1.0,0.007168458781362008,0.3075
0.0037313432835820895,1.0,0.007434944237918215,0.3325
0.00267379679144385,1.0,0.005333333333333333,0.0675
0.00398406374501992,1.0,0.007936507936507936,0.375
0.0044444444444444444,1.0,0.008849557522123894,0.44
0.002857142857142857,1.0,0.005698005698005697,0.1275
0.0040650406504065045,1.0,0.008097165991902834,0.3875
0.0,0.0,0.0,0.665
0.0,0.0,0.0,0.31
0.004694835680751174,1.0,0.009345794392523364,0.47
0.00425531914893617,1.0,0.008474576271186442,0.415
0.0,0.0,0.0,0.4475
0.0,0.0,0.0,0.4475
0.0,0.0,0.0,0.7825
0.0,0.0,0.0,0.2825
0.0,0.0,0.0,0.485
0.0,0.0,0.0,0.07
0.0,0.0,0.0,0.115
0.003067484662576687,1.0,0.0061162079510703364,0.1875
0.003205128205128205,1.0,0.006389776357827476,0.2225
0.0033222591362126247,1.0,0.006622516556291392,0.25
0.0,0.0,0.0,0.2475
0.0058823529411764705,1.0,0.011695906432748537,0.5775
0.0,0.0,0.0,0.2425
0.005025125628140704,1.0,0.01,0.505
0.0,0.0,0.0,0.25
0.0031645569620253164,1.0,0.006309148264984227,0.2125
0.0036496350364963502,1.0,0.007272727272727273,0.3175
0.0,0.0,0.0,0.5275
0.0,0.0,0.0,0.3225
0.0030120481927710845,1.0,0.006006006006006006,0.1725
0.0033333333333333335,1.0,0.006644518272425249,0.2525
0.006172839506172839,1.0,0.012269938650306747,0.5975
0.0030211480362537764,1.0,0.006024096385542168,0.175
0.0,0.0,0.0,0.155
0.0,0.0,0.0,0.6425
0.004694835680751174,1.0,0.009345794392523364,0.47
0.004901960784313725,1.0,0.00975609756097561,0.4925
0.0030303030303030303,1.0,0.006042296072507554,0.1775
0.0036900369003690036,1.0,0.007352941176470588,0.325
0.005952380952380952,1.0,0.011834319526627219,0.5825
0.002777777777777778,1.0,0.00554016620498615,0.1025
0.0,0.0,0.0,0.185
0.0,0.0,0.0,0.2825
0.0,0.0,0.0,0.4275
0.003194888178913738,1.0,0.006369426751592357,0.22
0.002680965147453083,1.0,0.0053475935828877,0.07
0.0043859649122807015,1.0,0.008733624454148471,0.4325
0.0035587188612099642,1.0,0.007092198581560283,0.3
0.0,0.0,0.0,0.505
0.0029069767441860465,1.0,0.005797101449275362,0.1425
0.0,0.0,0.0,0.685
0.005681818181818182,1.0,0.01129943502824859,0.5625
0.0,0.0,0.0,0.65
0.0,0.0,0.0,0.5425
0.002967359050445104,1.0,0.005917159763313609,0.16
0.0027397260273972603,1.0,0.005464480874316939,0.09
0.003355704697986577,1.0,0.006688963210702341,0.2575
0.005747126436781609,1.0,0.011428571428571429,0.5675
0.005319148936170213,1.0,0.010582010582010583,0.5325
0.0028011204481792717,1.0,0.00558659217877095,0.11
0.002976190476190476,1.0,0.005934718100890207,0.1625
0.0,0.0,0.0,0.7875
0.0027548209366391185,1.0,0.005494505494505495,0.095
0.004347826086956522,1.0,0.008658008658008658,0.4275
0.0029069767441860465,1.0,0.005797101449275362,0.1425
0.0034129692832764505,1.0,0.006802721088435374,0.27
0.0,0.0,0.0,0.2275
0.00411522633744856,1.0,0.00819672131147541,0.395
0.0,0.0,0.0,0.6525
0.005681818181818182,1.0,0.01129943502824859,0.5625
0.0027548209366391185,1.0,0.005494505494505495,0.095
0.002824858757062147,1.0,0.005633802816901409,0.1175
0.002717391304347826,1.0,0.0054200542005420045,0.0825
0.0027548209366391185,1.0,0.005494505494505495,0.095
